ResponseId,Q8,Q4,Q5,z-score,TeamSizeViolation,TeamId
R_1xY6oEqvUOgNE9J,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,1
R_3fe154jm4yO42Jd,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,1
R_68AKJHxW80KsaUJ,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,1
R_72MBTrppxQx77Zk,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,1
R_5I58AnRoc6Sn4qJ,In-person before or after class,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,2
R_6hywac7vdhofqrp,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,2
R_7JDcyTPqF6a2epz,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,2
R_1Tt061BXIvwDqf7,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,2
R_1c2Bkpc1SbLguDZ,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,3
R_6N9aC2o9sVfTTlx,In-person before or after class,I am interested in being a peer tutor in BIOC 202,1,1,,3
R_6gUUJgHmOVNrEOJ,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,3
R_57OuYXc2g0yucQC,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,3
R_3af6CR6SesnCOSj,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,4
R_7UaNIPER76SZapP,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,0,,4
R_52Y9I4GNfWsJvET,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,4
R_3T2UgGu1qch2O53,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,4
R_5IlHO5XYwbRZscx,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,5
R_7SIxjRN57yvDqKZ,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,3+,1,,5
R_7tLQ4U4Le3hUzdO,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,5
R_5JzuM08n7rlLOoF,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,5
R_7puGESdHkbBbgUK,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,6
R_3NQUdUAg7Phzec9,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,6
R_3pYvn7skDHfea46,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,6
R_5FgZAyO9CUxlXHu,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,0,,6
R_6ersviDPZbjm9Fs,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,7
R_74tKLGrojvnZbot,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,7
R_3gisd8SZUqqzsNx,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,7
R_6K8s9MuJEHboXhd,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,7
R_1jZd0q9GfPEl1g2,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,8
R_6SbyBzDjvAr0gjT,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,8
R_5fjk1bTMkgF4yqc,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,8
R_6xLuAUTxRuHe2dj,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,8
R_6n5twWUSvKfw4XT,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,9
R_1U5BIKC2g1wVX02,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,9
R_3QM2BSCDxM0WFeu,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,9
R_12QglGt6yYShCCU,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,9
R_1mKQSV0bYECk31p,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,10
R_1UksZZc2mnHwQdX,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,10
R_1jPXYdc5Dui3ECC,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,10
R_3pYaSz1WAVFlMNs,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,10
R_5Dwn67dotOX8b4f,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,11
R_6HSSzF75kXholgf,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,11
R_5JFUmZzbSEWSehz,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,11
R_5sZtOHmEg8YeMu4,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,11
R_7kTepjfZnmmu66T,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,12
R_3cz4sDE19s3WVB7,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,12
R_6d6qiTIsENvVMzm,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,12
R_5U9QUShamCyDEpb,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,12
R_5iqJkmbMjPswgGe,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,13
R_5aRaXfWqA6hkVjG,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,13
R_1ovGGfv9PsoczEI,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,13
R_5PTRSejdK0v6WcQ,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,13
R_57COQl7wPMoHaa5,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,14
R_5r1Vc9KJjw6HXp6,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,14
R_6t2IoiLWPHmV6VU,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,14
R_3LdjPkDpal0mtoG,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,14
R_64FZUluEHQKWO7a,In-person before or after class,I am interested in being a peer tutor in BIOC 202,1,1,,15
R_38ThERpnT8zSdhS,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,15
R_1DuWCdYipfMqbPW,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,15
R_7qftVmASWV6EaJc,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,15
R_3oTmVmZtGTpmjwr,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,16
R_5nZ3Ih2GeVbQWtY,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,16
R_1Ug4khNPzEcXViX,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,16
R_3LpnwKx2gf38bWV,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,16
R_6JLyWCgc0BifbGG,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,17
R_5JPztyc2m5Dmecs,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,17
R_3WScQc6x96vm40p,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,17
R_3t50Us7ciuw4IQl,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,17
R_117HAhICGNHq5NT,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,0,,18
R_6L6Hsd116GvLGik,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,18
R_5U0cINiFFSgezlC,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,18
R_6rBIubpLtknG94L,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,18
R_1gUtmeB8ih13kk1,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,19
R_1H8JBetmk8T17iC,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,19
R_3fDvJ4Vz5HTxksS,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,19
R_1bI6YAcPR4p5met,In-person nights or weekends,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,19
R_1GHchmMvcTHXR1x,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,20
R_1rDE1xP2H5sTpDV,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,20
R_3DCOWP1s7WdXl9A,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,20
R_1PxZ6Z1XHzUJCVz,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,20
R_3uU8XUeFE520RLi,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,21
R_7WMW8bzjBNRM1Fv,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,21
R_6elh6CR3ve7aLh8,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,21
R_6HqPDwWr83VfPDb,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,21
R_1qe9PE6jMWqa40r,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,22
R_60e3IY97cWEhnxx,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,22
R_3FG4C4Oy48ZvbDZ,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,22
R_1QmJqHRA0xXIJRq,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,1,,22
R_3ClnCdXCJ6UPd7H,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,23
R_6rTkpsJ1VRWhlDN,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,23
R_3cbwrb9pLQEgJpg,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,23
R_618pBNmQoIjeSCR,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,0,,23
R_6VQocFYNmISTrPo,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,24
R_1N9RcYPmvzLzPm9,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,24
R_1klJrJWwRieXc9r,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,24
R_3l0qdZfpBEAKjgw,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,24
R_5FWdn41TDCJqT0t,In-person before or after class,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,25
R_1e7R1rE674NDLxa,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,25
R_6U79Xjabmp4skkp,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,25
R_3IRYyhH8NcRjCuJ,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,25
R_70OU7PdzIvWc7AN,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,26
R_6fNMas1IbIC0Cyd,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,26
R_5KHO2rHmReAmesU,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,26
R_6P5EwZTabX3lRbQ,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,26
R_7dEyFzPcZHdETVt,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,27
R_37WCVwmpHgOeAIw,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,27
R_7X67owPJjbGAsvL,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,27
R_5OjgNWJUrBIJyto,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,27
R_5pu3xjzWySY7hAB,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,28
R_6B5q6s4JOUJ6fNy,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,28
R_5n3LrYf1zRlEEOT,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,28
R_3QnlNEY96HSToTZ,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,28
R_5XcFBvJQloNJEZ2,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,29
R_3w1fv343wdSDfmz,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,29
R_5nu3zxEFBQEVK4b,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,29
R_7QDUqSpowT7cmqW,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,29
R_5EBnEV78XmO0Z5n,On zoom,I am interested in being a peer tutor in BIOC 202,1,1,,30
R_7DnJDzK0uafQkIi,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,30
R_1CmvNEZy6N5PiDr,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,1,,30
R_15LuaAaNbNbf6NP,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,30
R_74i4MHwMDoT0UBx,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,31
R_3dch2zp6OAen8xX,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,31
R_7xR7Prc2TQvTTpv,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,31
R_5axxMQfvXq5bFcD,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,31
R_1uWzVlZIGErnji7,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,32
R_3QcIZOezPo9BP6K,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,32
R_5Gly0BLush62M31,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,32
R_5OeRzijHWcPl85z,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,32
R_6Gc87iYQcsR0o1j,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,33
R_333G3d2q9BtXgfF,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,33
R_51dsv3IZGRmN2Y4,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,33
R_3Kjn1WP87R6YOpb,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,33
R_637Iuwa3WnClkR8,On zoom,I am interested in being a peer tutor in BIOC 202,1,1,,34
R_5fiKb9Moa564JFz,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,0,,34
R_3nZ3Oir5E5qXGLG,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,1,,34
R_6NVmZUL4dyujgJj,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,34
R_6r8ocRFGkGe2LJL,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,35
R_7qJutvPIz3qSFTz,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,35
R_5dT7u98l0eDR3sB,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,35
R_1pQASoXAa1Jmopo,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,35
R_1MHJmPZv0Ee7jxf,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,36
R_5mUeP0Wt2PhIggh,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,36
R_5aeHoriOY2V8jyQ,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,36
R_3LFtxdyxkVCR95f,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,37
R_3HYv5Dl5Jfp0Wvb,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,37
R_5QMMcmL1QuP3BF7,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,37
